"Model","CandidateID","Architecture","Learning_rate","L1","L2","Inner_folds_ok","Mean_RMSE","Mean_Correlation","Mean_MAE","Median_EarlyStop_epoch","Max_Last_epoch","N_epoch_ceiling","Status","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L2",1,"64-32",0.000125,0,1e-05,4,2.06079293550788,0.442480457610427,1.64428729058785,26,79,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L2",2,"64-32",0.000125,0,1e-04,4,2.05143526246192,0.446483440049285,1.63462511156991,26,56,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L2",3,"64-32",0.000125,0,0.001,4,2.06047635215396,0.442760979842496,1.64480739054094,26.5,78,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L2",4,"64-32",0.000125,0,0.01,4,2.05693879081626,0.443419100361233,1.64213353835212,24.5,78,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",1,"64-32",0.000125,1e-05,1e-05,4,2.05931908310974,0.442395066237393,1.64383774603348,25,76,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",2,"64-32",0.000125,1e-04,1e-05,4,2.05787854462414,0.443190126504315,1.6433897963416,24.5,78,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",3,"64-32",0.000125,0.001,1e-05,4,2.0371176418627,0.461505615156251,1.62590944786466,33,203,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",4,"64-32",0.000125,0.01,1e-05,4,1.9242635380235,0.526052731359195,1.54193278947481,486,547,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",5,"64-32",0.000125,0.03,1e-05,4,2.27831101959896,0.370720806002683,1.83972685235251,109,144,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",6,"64-32",0.000125,0.1,1e-05,4,2.27342016272217,NA,1.83253685009457,1049.5,2000,2,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",7,"64-32",0.000125,1e-05,1e-04,4,2.05943375933929,0.442751910130806,1.6446290352796,26.5,74,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
