"Model","Metric","N","Mean_ANN","Mean_GBLUP","Mean_raw_difference","Median_raw_difference","Mean_performance_advantage","Median_performance_advantage","ANN_better","Equal","GBLUP_better"
"ANN_L1","Phenotype_Correlation",150,0.55189913817909,0.569902032337942,-0.0180028941588519,-0.014579003287241,-0.0180028941588519,-0.014579003287241,35,0,115
"ANN_L1","Phenotype_RMSE",150,0.934048846514436,0.907356812697247,0.0266920338171892,0.0175634774692019,-0.0266920338171892,-0.0175634774692019,24,0,126
"ANN_L1","Phenotype_MAE",150,0.75343063969171,0.732552827722822,0.0208778119688887,0.0134468512922694,-0.0208778119688887,-0.0134468512922694,27,0,123
"ANN_L1","Phenotype_Bias",150,-0.0178714602478651,0.0023563587156994,-0.0202278189635645,-0.0172162972656991,-0.0274256612370471,-0.0152407673873045,53,0,97
"ANN_L1","Phenotype_Slope",150,1.01536327497467,0.997740145825021,0.0176231291496461,-0.0314195922971734,-0.0838693495927857,-0.0679371730215891,42,0,108
"ANN_L1","Phenotype_R2",150,0.284627212381062,0.321778097140475,-0.0371508847594125,-0.0304793404079658,-0.0371508847594125,-0.0304793404079658,24,0,126
"ANN_L1_L2","Genetic_Correlation",150,0.801281647004211,0.826162404089669,-0.0248807570854584,-0.0205502566215638,-0.0248807570854584,-0.0205502566215638,31,0,119
"ANN_L1_L2","Genetic_RMSE",150,0.553732822248869,0.507960512614668,0.0457723096342004,0.0344033771584469,-0.0457723096342004,-0.0344033771584469,16,0,134
"ANN_L1_L2","Genetic_MAE",150,0.444438904061577,0.409388058885557,0.0350508451760202,0.0259856555846817,-0.0350508451760202,-0.0259856555846817,17,0,133
"ANN_L1_L2","Genetic_Bias",150,-0.0175144364803365,0.00235654204903253,-0.019870978529369,-0.0165923846360935,-0.0313754219229001,-0.0160044468312963,49,0,101
"ANN_L1_L2","Genetic_Slope",150,1.03885561639981,1.0195453940478,0.0193102223520043,-0.0490617420260951,-0.107966548852706,-0.0869470707194863,26,0,124
"ANN_L1_L2","Genetic_R2",150,0.609671401299993,0.680225778512268,-0.0705543772122748,-0.0616612200271305,-0.0705543772122748,-0.0616612200271305,16,0,134
"ANN_L1_L2","Phenotype_Correlation",150,0.552006096168137,0.569902032337942,-0.017895936169805,-0.0148506341453624,-0.017895936169805,-0.0148506341453624,35,0,115
"ANN_L1_L2","Phenotype_RMSE",150,0.933727351083738,0.907356812697247,0.0263705383864916,0.0176487356248717,-0.0263705383864916,-0.0176487356248717,25,0,125
"ANN_L1_L2","Phenotype_MAE",150,0.753106878592876,0.732552827722822,0.0205540508700538,0.0137164597554485,-0.0205540508700538,-0.0137164597554485,28,0,122
"ANN_L1_L2","Phenotype_Bias",150,-0.0175146198136696,0.0023563587156994,-0.019870978529369,-0.0165923846360934,-0.0273847080164347,-0.0139026821383757,54,0,96
"ANN_L1_L2","Phenotype_Slope",150,1.0186140502988,0.997740145825021,0.0208739044737758,-0.0387549594255081,-0.0854008233739183,-0.0665907224959186,42,0,108
"ANN_L1_L2","Phenotype_R2",150,0.284849770554049,0.321778097140475,-0.0369283265864259,-0.02927672874103,-0.0369283265864259,-0.02927672874103,25,0,125
"ANN_L2","Genetic_Correlation",150,0.785078600466728,0.826162404089669,-0.0410838036229414,-0.0214253215871164,-0.0410838036229414,-0.0214253215871164,29,0,121
"ANN_L2","Genetic_RMSE",150,0.585637434790138,0.507960512614668,0.0776769221754696,0.0456692991009675,-0.0776769221754696,-0.0456692991009675,12,0,138
"ANN_L2","Genetic_MAE",150,0.468345520043195,0.409388058885557,0.058957461157638,0.034899163908323,-0.058957461157638,-0.034899163908323,12,0,138
"ANN_L2","Genetic_Bias",150,-0.0166207921237734,0.00235654204903253,-0.0189773341728059,-0.0168704546258183,-0.0387605629839492,-0.0244022933947823,43,0,107
"ANN_L2","Genetic_Slope",150,0.950626791116012,1.0195453940478,-0.0689186029317908,-0.128548315216828,-0.111245418054967,-0.0966395267361004,23,0,127
"ANN_L2","Genetic_R2",150,0.581734965331518,0.680225778512268,-0.0984908131807498,-0.0843337600932363,-0.0984908131807498,-0.0843337600932363,12,0,138
"ANN_L2","Phenotype_Correlation",150,0.53763073847598,0.569902032337942,-0.0322712938619623,-0.0200393545579216,-0.0322712938619623,-0.0200393545579216,30,0,120
"ANN_L2","Phenotype_RMSE",150,0.959230352285993,0.907356812697247,0.0518735395887459,0.0228145117738833,-0.0518735395887459,-0.0228145117738833,18,0,132
"ANN_L2","Phenotype_MAE",150,0.773369919066826,0.732552827722822,0.0408170913440046,0.0179543652738671,-0.0408170913440046,-0.0179543652738671,22,0,128
"ANN_L2","Phenotype_Bias",150,-0.0166209754571065,0.0023563587156994,-0.0189773341728059,-0.0168704546258183,-0.0329047494442573,-0.0196917317693956,45,0,105
"ANN_L2","Phenotype_Slope",150,0.932278879309621,0.997740145825021,-0.0654612665153997,-0.11649651415853,-0.0914510884948174,-0.0830100387733658,39,0,111
"ANN_L2","Phenotype_R2",150,0.263777588082227,0.321778097140475,-0.0580005090582475,-0.0431507250289167,-0.0580005090582475,-0.0431507250289167,18,0,132
