"Scenario","Model","Metric","N","Mean_advantage","Median_advantage","ANN_better","Equal","GBLUP_better"
"C4","ANN_L1","Genetic_Correlation",25,-0.028370336381233,-0.0223729653761862,2,0,23
"C4","ANN_L1","Genetic_RMSE",25,-0.0447479876360109,-0.0350763975923606,0,0,25
"C4","ANN_L1","Genetic_MAE",25,-0.0366774890185684,-0.0258079930972555,0,0,25
"C4","ANN_L1","Genetic_Bias",25,-0.0309893548037209,-0.0084944446370617,10,0,15
"C4","ANN_L1","Genetic_Slope",25,-0.11395402425029,-0.092101023440143,5,0,20
"C4","ANN_L1","Genetic_R2",25,-0.0885428239199756,-0.0606186562352187,0,0,25
"C4","ANN_L1","Phenotype_Correlation",25,-0.0173275388329175,-0.0198169661436498,4,0,21
"C4","ANN_L1","Phenotype_RMSE",25,-0.0189639994141919,-0.0184761957929236,3,0,22
"C4","ANN_L1","Phenotype_MAE",25,-0.0135262911036578,-0.0156061240949574,2,0,23
"C4","ANN_L1","Phenotype_Bias",25,-0.0167710043121673,-0.000155195448569005,12,0,13
"C4","ANN_L1","Phenotype_Slope",25,-0.0851657958257131,-0.0429767670484263,9,0,16
"C4","ANN_L1","Phenotype_R2",25,-0.0372714896942645,-0.0336665653270024,3,0,22
"C5","ANN_L1","Genetic_Correlation",25,-0.0168919562883469,-0.0150306233683666,10,0,15
"C5","ANN_L1","Genetic_RMSE",25,-0.0310962470237759,-0.0323944854672764,4,0,21
"C5","ANN_L1","Genetic_MAE",25,-0.0223002125361814,-0.0212206571059392,4,0,21
"C5","ANN_L1","Genetic_Bias",25,-0.0224300561565093,-0.0117771462386047,8,0,17
"C5","ANN_L1","Genetic_Slope",25,-0.165385462722877,-0.118676559697042,2,0,23
"C5","ANN_L1","Genetic_R2",25,-0.074872384080582,-0.0696845659850078,4,0,21
"C5","ANN_L1","Phenotype_Correlation",25,-0.0102628765952035,-0.00945140905969361,9,0,16
"C5","ANN_L1","Phenotype_RMSE",25,-0.0111192978182089,-0.00870585813488378,4,0,21
"C5","ANN_L1","Phenotype_MAE",25,-0.00728579761524945,-0.00473430293631982,7,0,18
"C5","ANN_L1","Phenotype_Bias",25,-0.0143451083903495,-0.0117771462386047,7,0,18
"C5","ANN_L1","Phenotype_Slope",25,-0.0904320584543538,-0.0977225523248851,8,0,17
"C5","ANN_L1","Phenotype_R2",25,-0.0247027791280472,-0.0178842636358403,4,0,21
"C6","ANN_L1","Genetic_Correlation",25,-0.0148723060122367,-0.0134616018911737,6,0,19
"C6","ANN_L1","Genetic_RMSE",25,-0.0277007057641888,-0.0259391196476048,3,0,22
"C6","ANN_L1","Genetic_MAE",25,-0.0212836092338864,-0.0224108772947188,4,0,21
"C6","ANN_L1","Genetic_Bias",25,-0.0281920367738327,-0.0209599642492888,7,0,18
"C6","ANN_L1","Genetic_Slope",25,-0.070122695500078,-0.0614047055414346,7,0,18
"C6","ANN_L1","Genetic_R2",25,-0.0636794221525915,-0.0568912735463283,3,0,22
"C6","ANN_L1","Phenotype_Correlation",25,-0.0117830805402138,-0.00885929764782278,7,0,18
"C6","ANN_L1","Phenotype_RMSE",25,-0.0104033016675576,-0.00992014899332616,6,0,19
"C6","ANN_L1","Phenotype_MAE",25,-0.00650827114628985,-0.00793689060290936,6,0,19
"C6","ANN_L1","Phenotype_Bias",25,-0.019503907245074,-0.0200851367100154,9,0,16
"C6","ANN_L1","Phenotype_Slope",25,-0.0590131489233185,-0.0587575019204768,9,0,16
"C6","ANN_L1","Phenotype_R2",25,-0.0259617927421269,-0.0243752518908066,6,0,19
"C1","ANN_L1_L2","Genetic_Correlation",25,-0.0455911851945284,-0.0405886075289028,5,0,20
"C1","ANN_L1_L2","Genetic_RMSE",25,-0.0915306563176171,-0.0976939149141487,5,0,20
"C1","ANN_L1_L2","Genetic_MAE",25,-0.0664060740474903,-0.0721171432700429,5,0,20
"C1","ANN_L1_L2","Genetic_Bias",25,-0.0456782314665088,-0.0254430862742029,10,0,15
"C1","ANN_L1_L2","Genetic_Slope",25,-0.0576034113584794,-0.0471617505591257,6,0,19
"C1","ANN_L1_L2","Genetic_R2",25,-0.0694681825142139,-0.0717688892169625,5,0,20
"C1","ANN_L1_L2","Phenotype_Correlation",25,-0.0354569096401243,-0.0404654295367869,5,0,20
"C1","ANN_L1_L2","Phenotype_RMSE",25,-0.0637102677873784,-0.0585037297190734,5,0,20
"C1","ANN_L1_L2","Phenotype_MAE",25,-0.0527200865103981,-0.0370886472694987,6,0,19
"C1","ANN_L1_L2","Phenotype_Bias",25,-0.0510718248904641,-0.0385253082887771,8,0,17
"C1","ANN_L1_L2","Phenotype_Slope",25,-0.0395514875730561,-0.0491558915608845,9,0,16
"C1","ANN_L1_L2","Phenotype_R2",25,-0.0455642026085398,-0.0427701074620779,5,0,20
"C2","ANN_L1_L2","Genetic_Correlation",25,-0.027243424773402,-0.0206665893703111,1,0,24
"C2","ANN_L1_L2","Genetic_RMSE",25,-0.0463752348709452,-0.0428051871653496,0,0,25
"C2","ANN_L1_L2","Genetic_MAE",25,-0.0369007273027995,-0.0357612773595548,0,0,25
"C2","ANN_L1_L2","Genetic_Bias",25,-0.0299180270680502,-0.0231589475880533,8,0,17
"C2","ANN_L1_L2","Genetic_Slope",25,-0.115876991595374,-0.0937593172570156,4,0,21
"C2","ANN_L1_L2","Genetic_R2",25,-0.0667747378744825,-0.0665793884255103,0,0,25
"C2","ANN_L1_L2","Phenotype_Correlation",25,-0.0212117213063462,-0.0161343533104676,2,0,23
"C2","ANN_L1_L2","Phenotype_RMSE",25,-0.0320044139707663,-0.0250309940708289,3,0,22
"C2","ANN_L1_L2","Phenotype_MAE",25,-0.028487530229537,-0.0239323174214998,1,0,24
"C2","ANN_L1_L2","Phenotype_Bias",25,-0.0252801358143806,-0.0230766793634994,9,0,16
"C2","ANN_L1_L2","Phenotype_Slope",25,-0.109061531000908,-0.08556244176466,4,0,21
"C2","ANN_L1_L2","Phenotype_R2",25,-0.048101082211175,-0.034535706485046,3,0,22
"C3","ANN_L1_L2","Genetic_Correlation",25,-0.0166135097179574,-0.0126223992607107,7,0,18
"C3","ANN_L1_L2","Genetic_RMSE",25,-0.0327633148026144,-0.033548852427924,4,0,21
"C3","ANN_L1_L2","Genetic_MAE",25,-0.0269116937704836,-0.023070697297852,3,0,22
"C3","ANN_L1_L2","Genetic_Bias",25,-0.0367634707128339,-0.0183748488960888,5,0,20
"C3","ANN_L1_L2","Genetic_Slope",25,-0.118334242145258,-0.0715743173077216,3,0,22
"C3","ANN_L1_L2","Genetic_R2",25,-0.0600486062340204,-0.0585105979037863,4,0,21
"C3","ANN_L1_L2","Phenotype_Correlation",25,-0.0107682252329608,-0.0112244217716744,8,0,17
"C3","ANN_L1_L2","Phenotype_RMSE",25,-0.0212822131821217,-0.0147075225918033,5,0,20
"C3","ANN_L1_L2","Phenotype_MAE",25,-0.0141803488704889,-0.0129174533116058,5,0,20
"C3","ANN_L1_L2","Phenotype_Bias",25,-0.0345983477168847,-0.0096273122169908,8,0,17
"C3","ANN_L1_L2","Phenotype_Slope",25,-0.117078478434822,-0.0864457066599505,3,0,22
"C3","ANN_L1_L2","Phenotype_R2",25,-0.0386798862384527,-0.0256264784891613,5,0,20
"C4","ANN_L1_L2","Genetic_Correlation",25,-0.0295809352044629,-0.0253347456626608,2,0,23
"C4","ANN_L1_L2","Genetic_RMSE",25,-0.0453830777209393,-0.0332250928259146,0,0,25
"C4","ANN_L1_L2","Genetic_MAE",25,-0.0370582035069018,-0.0243629244683844,0,0,25
"C4","ANN_L1_L2","Genetic_Bias",25,-0.0266213297377256,-0.00136592367469696,10,0,15
"C4","ANN_L1_L2","Genetic_Slope",25,-0.117980092892693,-0.0908153987293909,5,0,20
"C4","ANN_L1_L2","Genetic_R2",25,-0.0898749259307006,-0.0561979945306874,0,0,25
"C4","ANN_L1_L2","Phenotype_Correlation",25,-0.0181242356677378,-0.0214543756898676,4,0,21
"C4","ANN_L1_L2","Phenotype_RMSE",25,-0.0196424910175143,-0.0181611802294858,2,0,23
"C4","ANN_L1_L2","Phenotype_MAE",25,-0.0139450635785414,-0.01426832188486,2,0,23
