"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1_L2","32",0.000125,0.01,0.01,1.85647613960753,0.588664413307242,1.48656687454737,"C1",3,5,"R03_F05","C1_R03_F05"
"ANN_0","32",0.000125,0,0,2.02405292053205,0.502445916198621,1.62214424951489,"C1",4,1,"R04_F01","C1_R04_F01"
"ANN_L1","32",0.000125,0.01,0,1.93805069829562,0.559454603616934,1.56040382633886,"C1",4,1,"R04_F01","C1_R04_F01"
"ANN_L2","32",0.000125,0,0.001,2.04912560683417,0.488408420785037,1.65573295881025,"C1",4,1,"R04_F01","C1_R04_F01"
"ANN_L1_L2","32",0.000125,0.01,1e-04,1.93683211110177,0.560253247024487,1.55891832527455,"C1",4,1,"R04_F01","C1_R04_F01"
"ANN_0","32",0.000125,0,0,2.01929317661357,0.459645423478634,1.60377669674409,"C1",4,2,"R04_F02","C1_R04_F02"
"ANN_L1","32",0.000125,0.01,0,1.91037298486314,0.533364586983044,1.52936165668371,"C1",4,2,"R04_F02","C1_R04_F02"
"ANN_L2","32",0.000125,0,0.01,2.04525164903598,0.435933528886721,1.63245927340421,"C1",4,2,"R04_F02","C1_R04_F02"
"ANN_L1_L2","32",0.000125,0.01,0.01,1.89766873251717,0.543421263913344,1.51409658366811,"C1",4,2,"R04_F02","C1_R04_F02"
"ANN_0","32",0.000125,0,0,1.99827406745914,0.469263293197418,1.61213769588721,"C1",4,3,"R04_F03","C1_R04_F03"
"ANN_L1","32",0.000125,0.01,0,1.91222102683452,0.531308164592743,1.55593822286426,"C1",4,3,"R04_F03","C1_R04_F03"
"ANN_L2","32",0.000125,0,0.01,2.00700502422898,0.469140517873221,1.61782652668332,"C1",4,3,"R04_F03","C1_R04_F03"
"ANN_L1_L2","32",0.000125,0.01,0.01,1.91218407536992,0.5314101750714,1.55521262381471,"C1",4,3,"R04_F03","C1_R04_F03"
"ANN_0","64-32",0.000125,0,0,2.10807038068611,0.454084263637892,1.6845681532152,"C1",4,4,"R04_F04","C1_R04_F04"
"ANN_L1","64-32",0.000125,0.01,0,1.96145694611667,0.553150402144723,1.56563540087875,"C1",4,4,"R04_F04","C1_R04_F04"
"ANN_L2","64-32",0.000125,0,0.01,2.121413839847,0.446941859877267,1.69494551830216,"C1",4,4,"R04_F04","C1_R04_F04"
"ANN_L1_L2","64-32",0.000125,0.01,0.01,1.95074781829904,0.55576158971785,1.554725978898,"C1",4,4,"R04_F04","C1_R04_F04"
"ANN_0","32",0.000125,0,0,2.0637765935414,0.480063093112933,1.63475549135732,"C1",4,5,"R04_F05","C1_R04_F05"
"ANN_L1","32",0.000125,0.01,0,1.92974595129915,0.559823402691968,1.54090327199531,"C1",4,5,"R04_F05","C1_R04_F05"
"ANN_L2","32",0.000125,0,1e-05,2.06085253085111,0.48445331594528,1.64667375438152,"C1",4,5,"R04_F05","C1_R04_F05"
"ANN_L1_L2","32",0.000125,0.01,0.001,1.91610341446022,0.566525830835636,1.53799334160584,"C1",4,5,"R04_F05","C1_R04_F05"
"ANN_0","64-32",0.000125,0,0,2.05892714989056,0.475358149003293,1.65450483398689,"C1",5,1,"R05_F01","C1_R05_F01"
"ANN_L1","64-32",0.000125,0.01,0,1.9507979150795,0.537091815592468,1.57309506945014,"C1",5,1,"R05_F01","C1_R05_F01"
"ANN_L2","64-32",0.000125,0,0.01,2.08043583847177,0.455279686242436,1.67642852525282,"C1",5,1,"R05_F01","C1_R05_F01"
"ANN_L1_L2","64-32",0.000125,0.01,0.001,1.94964797039075,0.53729111786543,1.57184524586533,"C1",5,1,"R05_F01","C1_R05_F01"
"ANN_0","64-32",0.000125,0,0,2.02584690386855,0.467264011399973,1.62259504930997,"C1",5,2,"R05_F02","C1_R05_F02"
"ANN_L1","64-32",0.000125,0.01,0,1.95963929357146,0.526959172037525,1.57759365101845,"C1",5,2,"R05_F02","C1_R05_F02"
"ANN_L2","64-32",0.000125,0,0.001,2.03109617225007,0.471894490586781,1.63207436286799,"C1",5,2,"R05_F02","C1_R05_F02"
