"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","N_train","N_test","N_pred_finite","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","GEBV_TrueG_Correlation","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Kernel_build_seconds","Fit_seconds","Predict_seconds","Status","Error"
"simulated","C3",80,0.5,1,3,"R01_F03","C3_R01_F03","GBLUP_ADE",800,200,200,0.813706803458504,0.416011032774417,0.333230718288497,0.0350042906158055,1.09951018303761,0.654247426046453,0.813706803458504,0.580320502282782,0.717201015354505,0.592249230202178,0.000554290615806181,0.975931496211578,0.336566658260098,5.17,12.09,0.0199999999999818,"ok",NA
"simulated","C3",80,0.5,1,4,"R01_F04","C3_R01_F04","GBLUP_ADE",800,200,200,0.814308628824465,0.391583903145225,0.305519493394427,0.0152006227014791,1.04035262565724,0.661590998357068,0.814308628824465,0.662221781745671,0.763416736187647,0.6202325857345,0.027490622701479,1.25906016400459,0.419218711489441,5.17,12.14,0.0299999999999727,"ok",NA
"simulated","C3",80,0.5,1,5,"R01_F05","C3_R01_F05","GBLUP_ADE",800,200,200,0.816860064345665,0.413819723380328,0.326702216166438,-0.056165687566822,1.09294559534249,0.656099629414922,0.816860064345665,0.625935183487489,0.743470434457578,0.591817655497245,-0.0266856875668222,1.12614911882842,0.386087662176852,5.17,13.4400000000001,0.149999999999977,"ok",NA
"simulated","C3",80,0.5,2,1,"R02_F01","C3_R02_F01","GBLUP_ADE",800,200,200,0.843314367011515,0.370994550290416,0.294304273547279,0.0337765947542742,1.05662151853223,0.706705813933851,0.843314367011514,0.5951886773418,0.731766447945634,0.605404015278526,0.0781950947542752,0.985574914964979,0.346714043530755,5.17,13.4300000000001,0.0399999999999636,"ok",NA
"simulated","C3",80,0.5,2,2,"R02_F02","C3_R02_F02","GBLUP_ADE",800,200,200,0.774739209384003,0.433515064865582,0.33857186229107,-0.0548863016414873,0.95595579297107,0.592413310193566,0.774739209384003,0.552532878175399,0.738301852693667,0.60235512953627,-0.025028301641487,0.885611606544214,0.299394213391418,5.17,13.7,0.00999999999999091,"ok",NA
"simulated","C3",80,0.5,2,3,"R02_F03","C3_R02_F03","GBLUP_ADE",800,200,200,0.822423840632368,0.39896651328381,0.31477567093339,0.000690772185132502,1.0279437121567,0.675880173626642,0.822423840632368,0.600907394989634,0.757243408645647,0.603472968997691,-0.0134227278148665,1.0151205856415,0.360808745841133,5.17,10.8199999999999,0.0300000000000864,"ok",NA
"simulated","C3",80,0.5,2,4,"R02_F04","C3_R02_F04","GBLUP_ADE",800,200,200,0.802408793718517,0.417796506101465,0.339691193864003,0.0291286617732525,0.99142791598577,0.64207190763296,0.802408793718517,0.621107194079129,0.735241619136786,0.58574965466043,0.0453481617732523,1.02872012263602,0.38312677511338,5.17,14.9399999999999,0.00999999999999091,"ok",NA
"simulated","C3",80,0.5,2,5,"R02_F05","C3_R02_F05","GBLUP_ADE",800,200,200,0.810744608750304,0.421754555999707,0.344980258110331,-0.0134754513031976,1.03810793024334,0.656069960008329,0.810744608750304,0.596484237091535,0.800926176644002,0.670477158103913,-0.089852951303198,1.05236300269671,0.346690160875498,5.17,12.76,0.0300000000000864,"ok",NA
"simulated","C3",80,0.5,3,1,"R03_F01","C3_R03_F01","GBLUP_ADE",800,200,200,0.827690648303627,0.370646538874309,0.29006098161055,-0.0436706997201592,0.955671394192711,0.679143630748944,0.827690648303627,0.550155967582806,0.764493908745881,0.628422329296642,-0.111872199720158,0.87533271557901,0.281138479032822,5.17,12.34,0.139999999999986,"ok",NA
"simulated","C3",80,0.5,3,2,"R03_F02","C3_R03_F02","GBLUP_ADE",800,200,200,0.813193897491326,0.456325452060067,0.362081099183643,-0.0403796219235532,1.03183807023899,0.657976598234762,0.813193897491326,0.651480253931922,0.741027388851711,0.601097529740553,-0.0711561219235526,1.02970092561074,0.418713632858888,5.17,14.2199999999999,0.0300000000000864,"ok",NA
"simulated","C3",80,0.5,3,3,"R03_F03","C3_R03_F03","GBLUP_ADE",800,200,200,0.764048785879229,0.434252803847459,0.339533942878662,0.0942463713571696,0.924708663692766,0.559134579751298,0.764048785879228,0.508202422148884,0.753442148961857,0.608414841161786,0.13384387135717,0.80109270898168,0.217658851501712,5.17,12.8199999999999,0.0299999999999727,"ok",NA
"simulated","C3",80,0.5,3,4,"R03_F04","C3_R03_F04","GBLUP_ADE",800,200,200,0.838061392730009,0.380699489029917,0.295401287833101,-0.0010639752614609,1.05261663736185,0.700589639074371,0.838061392730009,0.653470217135942,0.677465300520949,0.542924424126817,0.00993652473853892,1.05465166880584,0.425753113618009,5.17,13.8100000000001,0.0199999999999818,"ok",NA
"simulated","C3",80,0.5,3,5,"R03_F05","C3_R03_F05","GBLUP_ADE",800,200,200,0.820538100695204,0.394043880470429,0.316395290903866,0.00402886706779547,1.069068168449,0.670438088092418,0.820538100695204,0.611790387622267,0.813464219728679,0.676281367968362,0.0524138670677956,1.18327793549033,0.362662006453223,5.17,11.78,0.129999999999995,"ok",NA
