"Scenario","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Validation_RMSE","Validation_Correlation","N_epoch_fit","N_epoch_validation","Fit_seconds"
"C1",5,3,"R05_F03","C1_R05_F03","ANN_0","16",0.000125,0,0,34,59,TRUE,FALSE,2.1025596412785,0.497426984179457,680,120,0.5
"C1",5,3,"R05_F03","C1_R05_F03","ANN_L1","16",0.000125,0.01,0,58,83,TRUE,FALSE,2.11019243183172,0.48904741835638,680,120,0.92999999999995
"C1",5,3,"R05_F03","C1_R05_F03","ANN_L2","16",0.000125,0,0.01,41,66,TRUE,FALSE,2.10347386360475,0.502358446848013,680,120,0.780000000000086
"C1",5,3,"R05_F03","C1_R05_F03","ANN_L1_L2","16",0.000125,0.01,1e-04,59,84,TRUE,FALSE,2.11039112970686,0.488853491550161,680,120,0.960000000000036
"C1",5,4,"R05_F04","C1_R05_F04","ANN_0","64-32",0.000125,0,0,30,55,TRUE,FALSE,1.72611784500996,0.53762586117965,680,120,0.669999999999959
"C1",5,4,"R05_F04","C1_R05_F04","ANN_L1","64-32",0.000125,0.01,0,400,425,TRUE,FALSE,1.63623660044747,0.597891248065693,680,120,7.15999999999997
"C1",5,4,"R05_F04","C1_R05_F04","ANN_L2","64-32",0.000125,0,0.001,30,55,TRUE,FALSE,1.72780315973682,0.536333775496922,680,120,0.789999999999964
"C1",5,4,"R05_F04","C1_R05_F04","ANN_L1_L2","64-32",0.000125,0.01,1e-04,457,482,TRUE,FALSE,1.63574915235119,0.596153946584474,680,120,6.07000000000005
"C1",5,5,"R05_F05","C1_R05_F05","ANN_0","64-32",0.001,0,0,6,31,TRUE,FALSE,2.07399097187068,0.426502925147399,680,120,0.379999999999995
"C1",5,5,"R05_F05","C1_R05_F05","ANN_L1","64-32",0.001,0.01,0,129,154,TRUE,FALSE,1.77996189573767,0.615532886789531,680,120,3
"C1",5,5,"R05_F05","C1_R05_F05","ANN_L2","64-32",0.001,0,0.01,6,31,TRUE,FALSE,2.07824616354057,0.421838049121012,680,120,0.600000000000023
"C1",5,5,"R05_F05","C1_R05_F05","ANN_L1_L2","64-32",0.001,0.01,0.001,147,172,TRUE,FALSE,1.80520267333305,0.605670626263767,680,120,2.47000000000003
"C2",1,1,"R01_F01","C2_R01_F01","ANN_0","32",0.00025,0,0,3,28,TRUE,FALSE,0.730709492507604,0.766927530198465,680,120,0.25
"C2",1,1,"R01_F01","C2_R01_F01","ANN_L1","32",0.00025,0.01,0,6,31,TRUE,FALSE,0.725224158441359,0.768079616150579,680,120,0.399999999999977
"C2",1,1,"R01_F01","C2_R01_F01","ANN_L2","32",0.00025,0,0.01,3,28,TRUE,FALSE,0.730783034918116,0.766884705017101,680,120,0.269999999999982
"C2",1,1,"R01_F01","C2_R01_F01","ANN_L1_L2","32",0.00025,0.01,1e-04,6,31,TRUE,FALSE,0.725226496443188,0.768078338120201,680,120,0.219999999999914
"C2",1,2,"R01_F02","C2_R01_F02","ANN_0","64-32",0.000125,0,0,13,38,TRUE,FALSE,0.794009829486056,0.667238741800055,680,120,0.559999999999945
