"Model","CandidateID","Architecture","Learning_rate","L1","L2","InnerFold","RMSE","Correlation","MAE","EarlyStop_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Fit_seconds","Prediction_seconds","Status","Error","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0",17,"32-16",0.00025,0,0,2,2.13098999689639,0.324621541520372,1.71580304735862,11,36,TRUE,FALSE,0.369999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,3,2.18882982925974,0.429678514290687,1.74676121068591,10,35,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",17,"32-16",0.00025,0,0,4,1.98727571263048,0.430216842183287,1.5793607330575,11,36,TRUE,FALSE,0.359999999999999,0.00999999999999801,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,1,1.99667804866926,0.488902873917706,1.58218462405768,10,35,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,2,2.11942308575555,0.316662186575601,1.69363118563716,10,35,TRUE,FALSE,0.32,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,3,2.16510771130323,0.452074923747667,1.72964244879039,8,33,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",18,"64-32",0.00025,0,0,4,2.03649298097816,0.419615964450727,1.60621981813667,6,31,TRUE,FALSE,0.339999999999996,0.0200000000000031,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",19,"2",5e-04,0,0,1,2.09170344854729,0.420586554197031,1.65754078817387,7,32,TRUE,FALSE,0.280000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",19,"2",5e-04,0,0,2,2.35372081454195,0.355671235406956,1.8913546236642,14,39,TRUE,FALSE,0.299999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",19,"2",5e-04,0,0,3,2.30787376104982,0.431825017430113,1.87289892037854,57,82,TRUE,FALSE,0.619999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",19,"2",5e-04,0,0,4,2.33411940051893,0.330826270065523,1.85689920678549,29,54,TRUE,FALSE,0.410000000000004,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",20,"4",5e-04,0,0,1,2.20548017626874,0.425545926092538,1.72262447937339,15,40,TRUE,FALSE,0.309999999999995,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",20,"4",5e-04,0,0,2,2.1058985761762,0.386519295238751,1.71351355271295,5,30,TRUE,FALSE,0.329999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",20,"4",5e-04,0,0,3,2.31906777861985,0.392328283051815,1.86481805413509,8,33,TRUE,FALSE,0.259999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",20,"4",5e-04,0,0,4,2.12236826933614,0.331487385965735,1.68473826755238,3,28,TRUE,FALSE,0.270000000000003,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",21,"8",5e-04,0,0,1,2.15082569620156,0.426421304464854,1.70612665820262,11,36,TRUE,FALSE,0.300000000000004,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",21,"8",5e-04,0,0,2,2.14817837805579,0.378000283715202,1.72673704565986,4,29,TRUE,FALSE,0.199999999999996,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",21,"8",5e-04,0,0,3,2.19718194693297,0.427122968975936,1.75641734355287,5,30,TRUE,FALSE,0.210000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",21,"8",5e-04,0,0,4,2.16939261087386,0.373849728719629,1.72303413671897,4,29,TRUE,FALSE,0.219999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",22,"16",5e-04,0,0,1,2.04189860552128,0.470294691128921,1.57773958291525,6,31,TRUE,FALSE,0.240000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",22,"16",5e-04,0,0,2,2.16981450539949,0.361152089630175,1.75250231962368,6,31,TRUE,FALSE,0.269999999999996,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
