"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Epoch_Last","Epoch_Stopped_by_patience","Epoch_Hit_ceiling","Inner_RMSE","Inner_Correlation","Inner_MAE","N_train","N_test","N_pred_finite","N_zero_variance_markers","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Epoch_selection_seconds","Final_fit_seconds","Predict_seconds","Status","Error"
"simulated","C4",120,0.5,2,4,"R02_F04","C4_R02_F04","ANN_L2","16-8",5e-04,0,0.001,7,32,TRUE,FALSE,0.701366476737804,0.57533577205092,0.572337078036498,800,200,200,0,0.838901498024606,0.344743533205763,0.269507302415917,-0.0443568992096534,0.869745511967866,0.682718910631053,0.554371623841326,0.725293829225895,0.587892716042407,-0.0202558992096533,0.808009452274305,0.289422500478656,0.480000000000018,0.0799999999999272,0,"ok",NA
"simulated","C4",120,0.5,2,4,"R02_F04","C4_R02_F04","ANN_L1_L2","16-8",5e-04,1e-05,0.001,7,32,TRUE,FALSE,0.701475140462137,0.57513634823132,0.572485536115734,800,200,200,0,0.838900225275554,0.344859063662384,0.269464640242594,-0.0447298304554522,0.869309082729987,0.682506220514382,0.554447261860372,0.725297575986141,0.587866353107279,-0.0206288304554521,0.80771541582407,0.289415158983952,0.419999999999959,0.0400000000000773,0,"ok",NA
"simulated","C4",120,0.5,2,5,"R02_F05","C4_R02_F05","ANN_0","16",0.00025,0,0,12,37,TRUE,FALSE,0.72129157872177,0.574541117753982,0.588321128890095,800,200,200,0,0.845914062951201,0.356483336495682,0.28888088418931,-0.0104847607723669,0.76724266945416,0.649411572685636,0.563290642333246,0.734547386765777,0.621480225872606,-0.0909617607723675,0.724682404872633,0.260153899273836,0.389999999999986,0.110000000000014,0,"ok",NA
"simulated","C4",120,0.5,2,5,"R02_F05","C4_R02_F05","ANN_L1","16",0.00025,0.01,0,40,65,TRUE,FALSE,0.712368782789968,0.567673078782601,0.571056035820199,800,200,200,0,0.844957709643461,0.32815727534455,0.263459196545324,0.0491540133952609,1.08492513601858,0.702913318533624,0.568717285749052,0.703327319865474,0.587708012206644,-0.0313229866047397,1.03578568452507,0.321707948391473,0.670000000000073,0.330000000000041,0,"ok",NA
"simulated","C4",120,0.5,2,5,"R02_F05","C4_R02_F05","ANN_L2","16",0.00025,0,1e-04,12,37,TRUE,FALSE,0.729741864749063,0.561453607600742,0.586028566724082,800,200,200,0,0.845917919888731,0.35647222279195,0.288870583327043,-0.0104738359732266,0.767263419748166,0.649433432193658,0.56329304141289,0.73454046925874,0.621475265372909,-0.0909508359732273,0.724701786378786,0.260167834022231,0.549999999999955,0.170000000000073,0,"ok",NA
"simulated","C4",120,0.5,2,5,"R02_F05","C4_R02_F05","ANN_L1_L2","16",0.00025,0.01,1e-05,22,47,TRUE,FALSE,0.71236832875007,0.56767375529892,0.571055866632175,800,200,200,0,0.841995929356986,0.327256300485038,0.264582739062242,0.0190798953106042,1.07452645678632,0.704542416546476,0.568753758289241,0.705223438409313,0.586004752505312,-0.0613971046893964,1.02953254113431,0.31804576793581,0.569999999999936,0.169999999999959,0.0100000000001046,"ok",NA
"simulated","C4",120,0.5,3,1,"R03_F01","C4_R03_F01","ANN_0","32-16",0.00025,0,0,14,39,TRUE,FALSE,0.697808440345407,0.57834154953024,0.570224385515546,800,200,200,0,0.83653888693002,0.334236504873024,0.267913075006142,-0.124828003957458,0.960055390567539,0.649729693955009,0.586171553005128,0.690958966662691,0.554235050432506,-0.144673503957458,0.993367239266165,0.313484738112016,0.629999999999995,0.17999999999995,0,"ok",NA
"simulated","C4",120,0.5,3,1,"R03_F01","C4_R03_F01","ANN_L1","32-16",0.00025,0.001,0,14,39,TRUE,FALSE,0.710507650492548,0.581547304566931,0.57698696369291,800,200,200,0,0.844509246050152,0.332672964560827,0.266608093463496,-0.138544125281697,1.00445503316498,0.652999120063028,0.587751543431669,0.693192209930892,0.558263532848461,-0.158389625281697,1.03227356851428,0.30903980487711,0.560000000000059,0.139999999999986,0,"ok",NA
"simulated","C4",120,0.5,3,1,"R03_F01","C4_R03_F01","ANN_L2","32-16",0.00025,0,0.01,14,39,TRUE,FALSE,0.712664695692196,0.57716551139194,0.578965697289592,800,200,200,0,0.835433920332735,0.334983972766678,0.268504719430186,-0.124505325000598,0.960432161155938,0.648161292184473,0.585934439587825,0.691028590339503,0.554620276499708,-0.144350825000598,0.994668933577521,0.31334637931745,0.720000000000027,0.169999999999959,0,"ok",NA
"simulated","C4",120,0.5,3,1,"R03_F01","C4_R03_F01","ANN_L1_L2","32-16",0.00025,0.001,0.01,14,39,TRUE,FALSE,0.709961126145082,0.582436328561158,0.576737528664974,800,200,200,0,0.84625843398861,0.332427088961693,0.266476328690086,-0.141225594128019,1.0123504019466,0.653511860977191,0.588186245252319,0.693628730794085,0.559059019390977,-0.161071094128019,1.0390050358673,0.308169300261106,0.539999999999964,0.190000000000055,0,"ok",NA
"simulated","C4",120,0.5,3,2,"R03_F02","C4_R03_F02","ANN_0","64-32",0.00025,0,0,7,32,TRUE,FALSE,0.67869133937185,0.574567595868001,0.554229905677757,800,200,200,0,0.867329568611541,0.34615879223469,0.28080950351769,-0.0274342592801859,0.87568054069248,0.735436880525238,0.666564221737943,0.712816802141955,0.572921110817438,0.0396272407198145,0.953839376051236,0.441541349789873,0.480000000000018,0.0900000000000318,0,"ok",NA
"simulated","C4",120,0.5,3,2,"R03_F02","C4_R03_F02","ANN_L1","64-32",0.00025,0.001,0,8,33,TRUE,FALSE,0.681201927362247,0.569094755270039,0.554823908566806,800,200,200,0,0.866683359704123,0.346921428156944,0.282057277215861,-0.0228434736217751,0.873624282303145,0.734269857750226,0.664569425849509,0.714912928473826,0.575292628205315,0.0442180263782254,0.949459178411887,0.438252086614232,0.440000000000055,0.0900000000000318,0,"ok",NA
